#Organism Group,Strain,Serovar,Isolate,Create Date,Location,Isolation Source,Isolation type,Host,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,K-mer group
E.coli and Shigella,FHI73,,PDT000038895.1,2014-09-09T20:27:54Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593953,GCA_000753075.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI45,,PDT000038896.1,2014-09-09T20:29:04Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593927,GCA_000753115.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI64,,PDT000038897.1,2014-09-09T20:29:52Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593944,GCA_000753135.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI88,111,PDT000038898.1,2014-09-09T20:30:30Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593967,GCA_000753155.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI17,26,PDT000038899.1,2014-09-09T20:31:42Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593903,GCA_000753195.1,"blaEC,tet(B)",PDG000000004.1583
E.coli and Shigella,FHI86,8,PDT000038902.1,2014-09-09T20:34:01Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593965,GCA_000753255.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI95,145,PDT000038903.1,2014-09-09T20:34:52Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593973,GCA_000753275.1,blaEC,PDG000000004.1583
E.coli and Shigella,FHI93,117,PDT000038908.1,2014-09-09T20:38:19Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593972,GCA_000753415.1,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,FHI54,,PDT000038913.1,2014-09-09T20:41:27Z,Norway,Human faeces,clinical,Homo sapiens,,,,SAMEA2593936,GCA_000753535.1,blaEC,PDG000000004.1583
E.coli and Shigella,G1/2,,PDT000041342.1,2014-10-24T17:02:24Z,Germany: near Wetzlar,,clinical,Homo sapiens,,,,SAMN02867339,GCA_000768405.1,blaEC,PDG000000004.1583
E.coli and Shigella,G4/9,,PDT000041341.1,2014-10-24T17:02:06Z,Germany: near Wetzlar,,clinical,Homo sapiens,,,,SAMN02867342,GCA_000768415.1,blaEC,PDG000000004.1583
E.coli and Shigella,G6/7,,PDT000041344.1,2014-10-24T17:03:32Z,Germany: near Wetzlar,,clinical,Homo sapiens,,,,SAMN02867352,GCA_000768465.1,blaEC,PDG000000004.1583
E.coli and Shigella,G5,,PDT000041345.1,2014-10-24T17:03:54Z,Germany: near Wetzlar,,clinical,Homo sapiens,,,,SAMN02867357,GCA_000768485.1,blaEC,PDG000000004.1583
E.coli and Shigella,G8,,PDT000041346.1,2014-10-24T17:04:16Z,Germany: near Wetzlar,,clinical,Homo sapiens,,,,SAMN02867359,GCA_000768505.1,blaEC,PDG000000004.1583
E.coli and Shigella,2011EL-1497-2,,PDT000041599.1,2014-10-30T16:02:42Z,,stool,clinical,Homo sapiens,PDS000033116.11,3,9,SAMN02951668,GCA_000770055.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-80,,PDT000042443.1,2014-11-13T19:01:47Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802175,GCA_000776035.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-23,,PDT000042444.1,2014-11-13T19:02:06Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802053,GCA_000776045.1,"blaEC,tet(B)",PDG000000004.1583
E.coli and Shigella,upec-62,,PDT000042445.1,2014-11-13T19:02:26Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802155,GCA_000776055.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-78,,PDT000042446.1,2014-11-13T19:02:37Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802172,GCA_000776065.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-58,,PDT000042447.1,2014-11-13T19:02:47Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802150,GCA_000776115.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-81,,PDT000042448.1,2014-11-13T19:03:04Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802176,GCA_000776135.1,"blaEC,tet(A)",PDG000000004.1583
E.coli and Shigella,upec-77,,PDT000042449.1,2014-11-13T19:03:26Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802171,GCA_000776155.1,"blaEC-5,blaTEM-1,sul2",PDG000000004.1583
E.coli and Shigella,upec-7,,PDT000042450.1,2014-11-13T19:03:40Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802163,GCA_000776175.1,"aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM",PDG000000004.1583
E.coli and Shigella,upec-8,,PDT000042451.1,2014-11-13T19:03:51Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802174,GCA_000776195.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-84,,PDT000042452.1,2014-11-13T19:04:01Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802179,GCA_000776215.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-76,,PDT000042453.1,2014-11-13T19:04:15Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802170,GCA_000776235.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-99,,PDT000042454.1,2014-11-13T19:04:33Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802195,GCA_000776255.1,"aac(3)-IId,aac(6')-Ib-cr5,aadA5,aph(3')-Ia,blaCTX-M-15,blaEC,blaOXA,catB3,dfrA14,dfrA17,mph(A),qacEdelta1,sul1",PDG000000004.1583
E.coli and Shigella,upec-57,,PDT000042456.1,2014-11-13T19:04:57Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802149,GCA_000776275.1,"blaEC,blaTEM-1",PDG000000004.1583
E.coli and Shigella,upec-82,,PDT000042455.1,2014-11-13T19:04:44Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802177,GCA_000776285.1,"aph(3'')-Ib,aph(6)-Id,blaCTX-M-14,blaEC,blaTEM-1,dfrA14,mph(A),sul2,tet(B)",PDG000000004.1583
E.coli and Shigella,upec-98,,PDT000042457.1,2014-11-13T19:05:09Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802194,GCA_000776315.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-69,,PDT000042458.1,2014-11-13T19:05:34Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802162,GCA_000776335.1,"aac(3)-IId,aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA17,mph(A),qacEdelta1,sul1,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,upec-83,,PDT000042459.1,2014-11-13T19:05:43Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802178,GCA_000776355.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-73,,PDT000042460.1,2014-11-13T19:05:58Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802167,GCA_000776375.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-97,,PDT000042461.1,2014-11-13T19:06:11Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802193,GCA_000776395.1,"aac(3)-IId,aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA17,mph(A),qacEdelta1,sul1,sul2,tet(A)",PDG000000004.1583
E.coli and Shigella,upec-79,,PDT000042462.1,2014-11-13T19:06:26Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802173,GCA_000776415.1,blaEC-5,PDG000000004.1583
E.coli and Shigella,upec-95,,PDT000042463.1,2014-11-13T19:06:36Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802191,GCA_000776435.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-85,,PDT000042464.1,2014-11-13T19:06:55Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802180,GCA_000776455.1,"aph(3')-Ia,blaEC-5,blaTEM-1",PDG000000004.1583
E.coli and Shigella,upec-72,,PDT000042465.1,2014-11-13T19:07:07Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802166,GCA_000776475.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-60,,PDT000042466.1,2014-11-13T19:07:17Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802153,GCA_000776505.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-88,,PDT000042467.1,2014-11-13T19:07:45Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802183,GCA_000776535.1,"aac(3)-II,aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA17,mph(A),qacEdelta1,sul2,tet",PDG000000004.1583
E.coli and Shigella,upec-74,,PDT000042469.1,2014-11-13T19:08:37Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802168,GCA_000776595.1,"aadA5,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA17,mph(A),qacEdelta1,sul2",PDG000000004.1583
E.coli and Shigella,upec-65,,PDT000042470.1,2014-11-13T19:08:58Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802158,GCA_000776615.1,blaEC-5,PDG000000004.1583
E.coli and Shigella,upec-89,,PDT000042471.1,2014-11-13T19:09:09Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802184,GCA_000776635.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-75,,PDT000042472.1,2014-11-13T19:09:23Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802169,GCA_000776655.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-59,,PDT000042473.1,2014-11-13T19:09:40Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802151,GCA_000776675.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-93,,PDT000042474.1,2014-11-13T19:09:59Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802189,GCA_000776695.1,blaEC-5,PDG000000004.1583
E.coli and Shigella,upec-229,,PDT000042475.1,2014-11-13T19:10:17Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802052,GCA_000776715.1,blaEC-5,PDG000000004.1583
E.coli and Shigella,upec-94,,PDT000042476.1,2014-11-13T19:10:36Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802190,GCA_000776735.1,"blaEC,blaTEM,dfrA5",PDG000000004.1583
E.coli and Shigella,upec-87,,PDT000042477.1,2014-11-13T19:10:47Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802182,GCA_000776745.1,"aadA1,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA1,qacEdelta1,sat2,sul1",PDG000000004.1583
E.coli and Shigella,upec-56,,PDT000042478.1,2014-11-13T19:11:03Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802148,GCA_000776775.1,"aadA5,blaEC,blaTEM-1,dfrA17,qacEdelta1,sul1",PDG000000004.1583
E.coli and Shigella,upec-9,,PDT000042479.1,2014-11-13T19:11:22Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802185,GCA_000776795.1,blaEC-5,PDG000000004.1583
E.coli and Shigella,upec-70,,PDT000042480.1,2014-11-13T19:11:40Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802164,GCA_000776815.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-90,,PDT000042481.1,2014-11-13T19:11:49Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802186,GCA_000776835.1,"aadA5,blaEC,blaTEM-1,dfrA17,mph(A),qacEdelta1,sul1",PDG000000004.1583
E.coli and Shigella,upec-91,,PDT000042482.1,2014-11-13T19:12:06Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802187,GCA_000776855.1,"blaEC,blaTEM-1",PDG000000004.1583
E.coli and Shigella,upec-55,,PDT000042484.1,2014-11-13T19:13:53Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802147,GCA_000776915.1,"blaEC,blaTEM-1",PDG000000004.1583
E.coli and Shigella,upec-54,,PDT000042483.1,2014-11-13T19:13:37Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802146,GCA_000776925.1,"aac(3)-IId,blaEC,blaTEM-1",PDG000000004.1583
E.coli and Shigella,upec-53,,PDT000042486.1,2014-11-13T19:14:21Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802145,GCA_000776935.1,"aadA1,aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,dfrA1,sat2,sul2,tet(A),tet(B)",PDG000000004.1583
E.coli and Shigella,upec-51,,PDT000042485.1,2014-11-13T19:14:06Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802143,GCA_000776965.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-50,,PDT000042487.1,2014-11-13T19:14:32Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802142,GCA_000776995.1,"blaEC,blaTEM-1",PDG000000004.1583
E.coli and Shigella,upec-48,,PDT000042488.1,2014-11-13T19:14:46Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802139,GCA_000777025.1,"blaEC,blaTEM-1",PDG000000004.1583
E.coli and Shigella,upec-45,,PDT000042489.1,2014-11-13T19:15:09Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802136,GCA_000777065.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-41,,PDT000042490.1,2014-11-13T19:15:48Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802132,GCA_000777095.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-43,,PDT000042491.1,2014-11-13T19:16:01Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802134,GCA_000777105.1,"blaEC-5,blaTEM-1,sul2",PDG000000004.1583
E.coli and Shigella,upec-40,,PDT000042492.1,2014-11-13T19:16:15Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802131,GCA_000777135.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-4,,PDT000042493.1,2014-11-13T19:16:31Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802130,GCA_000777155.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-39,,PDT000042494.1,2014-11-13T19:16:43Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802129,GCA_000777165.1,"blaEC-5,blaTEM,sul2",PDG000000004.1583
E.coli and Shigella,upec-38,,PDT000042495.1,2014-11-13T19:16:54Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802128,GCA_000777195.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-36,,PDT000042496.1,2014-11-13T19:17:03Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802126,GCA_000777215.1,"aadA2,blaCARB-2,blaEC,catA1,qacEdelta1,sul1,tet(B)",PDG000000004.1583
E.coli and Shigella,upec-37,,PDT000042497.1,2014-11-13T19:17:16Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802127,GCA_000777235.1,blaEC-5,PDG000000004.1583
E.coli and Shigella,upec-34,,PDT000042498.1,2014-11-13T19:17:39Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802124,GCA_000777265.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-33,,PDT000042499.1,2014-11-13T19:17:56Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802123,GCA_000777285.1,blaEC,PDG000000004.1583
E.coli and Shigella,upec-31,,PDT000042500.1,2014-11-13T19:18:23Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802121,GCA_000777325.1,"aadA2,blaCARB-2,blaEC,dfrA16,ere(A),qacE,tet(B)",PDG000000004.1583
E.coli and Shigella,upec-30,,PDT000042501.1,2014-11-13T19:18:37Z,USA: WA,patient with urinary tract infection,clinical,Homo sapiens,,,,SAMN02802120,GCA_000777355.1,blaEC,PDG000000004.1583
