#Organism Group,Strain,Serovar,Isolate,Create Date,Location,Isolation Source,Isolation type,Host,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,K-mer group
"E.coli and Shigella","FHI91",,"PDT000038890.1","2014-09-09T20:24:26Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593970","GCA_000752955.1","aph(3'')-Ib,aph(6)-Id,blaEC,sul2","PDG000000004.1583"
"E.coli and Shigella","FHI73",,"PDT000038895.1","2014-09-09T20:27:54Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593953","GCA_000753075.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","FHI45",,"PDT000038896.1","2014-09-09T20:29:04Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593927","GCA_000753115.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","FHI64",,"PDT000038897.1","2014-09-09T20:29:52Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593944","GCA_000753135.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","FHI88","111","PDT000038898.1","2014-09-09T20:30:30Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593967","GCA_000753155.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","FHI17","26","PDT000038899.1","2014-09-09T20:31:42Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593903","GCA_000753195.1","blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","FHI86","8","PDT000038902.1","2014-09-09T20:34:01Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593965","GCA_000753255.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","FHI95","145","PDT000038903.1","2014-09-09T20:34:52Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593973","GCA_000753275.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","FHI93","117","PDT000038908.1","2014-09-09T20:38:19Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593972","GCA_000753415.1","aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,sul2,tet(A)","PDG000000004.1583"
"E.coli and Shigella","FHI54",,"PDT000038913.1","2014-09-09T20:41:27Z","Norway","Human faeces","clinical","Homo sapiens",,,,"SAMEA2593936","GCA_000753535.1","blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040363.5","2018-06-26T23:03:12Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991214",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040364.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991222",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2,tet(A)","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040367.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991224",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040369.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991193",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040370.5","2018-06-26T23:03:12Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991216",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040371.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991192",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O121:H19/E. coli O103:NM","PDT000040372.5","2018-06-26T23:03:12Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991217",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O113:H21","PDT000040373.3","2016-04-15T21:10:45Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991198",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040374.4","2016-04-15T21:10:46Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991199",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040375.5","2018-06-26T23:03:13Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991218",,"aadA1,aph(3'),blaEC,blaTEM-1,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O119:H4","PDT000040376.3","2016-04-15T21:10:46Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991202",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O119:H25","PDT000040377.3","2016-04-15T21:10:46Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991203",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040378.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991223",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040379.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991195",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O91:H14","PDT000040380.3","2016-04-15T21:10:45Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991221",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O177:H2","PDT000040381.3","2016-04-15T21:10:46Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991211",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040382.3","2016-04-15T21:10:46Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991227",,"aph(3'')-Ib,aph(6)-Id,blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040383.2","2014-10-09T02:06:00Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991205",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,blaTEM-1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040384.2","2014-10-09T02:06:01Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991206",,,"PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040385.3","2015-06-30T16:15:34Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991210",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040388.2","2014-10-09T02:06:02Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991219",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O113:H21","PDT000040390.3","2016-04-15T21:10:45Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991234",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O119:H28","PDT000040391.3","2016-04-15T21:10:47Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991236",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040393.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991232",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040394.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991233",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O91:H1","PDT000040396.3","2016-04-15T21:10:45Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991231",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040397.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991237",,"aph(3'')-Ib,aph(6)-Id,blaEC,sul2","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040399.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991230",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O119:NM","PDT000040401.3","2016-04-15T21:10:47Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991239",,"aadA1,aph(3')-Ia,blaEC,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O118:H16","PDT000040402.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991194",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040403.3","2016-04-15T21:10:45Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991196",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O174:H2","PDT000040404.3","2016-04-15T21:10:45Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991201",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O45:H2","PDT000040407.2","2014-10-09T02:06:11Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991189",,"aac(3),aadA22,aph(3'')-Ib,aph(3')-Ia,blaEC,blaTEM-1,floR,qacEdelta1,sul1,sul2,tet(A)","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O69:H11","PDT000040409.5","2018-06-26T23:03:13Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991191",,"blaEC,tet(C)","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O103:H25","PDT000040410.5","2018-06-26T23:03:13Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991244",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O69:H11","PDT000040418.3","2016-04-15T21:10:46Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991247",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O118:H16","PDT000040419.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991249",,"aadA2,aph(3')-Ia,blaEC,dfrA12,mph(A),qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O69:H11","PDT000040420.3","2015-05-15T04:17:00Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019933",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O118:H2","PDT000040421.3","2015-05-15T04:17:00Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019935",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040422.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN03019936",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O69:H11","PDT000040423.3","2016-04-15T21:10:46Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019934",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040426.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991262",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040428.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991264",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O177:H11","PDT000040430.3","2016-04-15T21:10:48Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019946",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040431.3","2016-04-15T21:10:48Z","USA",,"clinical","Homo sapiens",,,,"SAMN03019943",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O146:H21","PDT000040432.4","2016-04-15T21:10:48Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019944",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040433.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991263",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O145:NM","PDT000040434.3","2016-04-15T21:10:47Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019940",,"aadA2,aph(3'')-Ib,aph(6)-Id,blaEC,dfrA12,floR,qacEdelta1,qnrB19,sul1,sul2,tet(A)","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O45:NM","PDT000040436.3","2016-04-15T21:10:46Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991251",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O118:H16","PDT000040440.3","2016-04-15T21:10:47Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991259",,"aac(3)-IId,aadA1,aadA5,blaEC,blaTEM-1,dfrA17,qacEdelta1,sat1,sul1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O103:H11","PDT000040441.2","2014-10-09T02:06:23Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019931",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O146:H28","PDT000040442.3","2016-04-15T21:10:48Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019945",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O113:H21","PDT000040443.3","2016-04-15T21:10:47Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991261",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040444.3","2016-04-15T21:10:48Z","USA",,"clinical","Homo sapiens",,,,"SAMN03019942",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040445.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN02991260",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O91:H14","PDT000040446.3","2016-04-15T21:10:46Z","USA","stool","clinical","Homo sapiens",,,,"SAMN02991256",,"aph(3'')-Ib,aph(6)-Id,blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O128:NM","PDT000040447.3","2016-04-15T21:10:48Z","USA",,"clinical","Homo sapiens",,,,"SAMN03019948",,"aph(3'')-Ib,aph(6)-Id,blaCMY-2,blaEC,floR,sul2,tet(A)","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O174:H10","PDT000040449.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN03019938",,"blaEC","PDG000000004.1583"
"E.coli and Shigella",,,"PDT000040450.3","2016-04-15T21:10:47Z","USA",,"clinical","Homo sapiens",,,,"SAMN03019939",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","G4/9",,"PDT000041341.1","2014-10-24T17:02:06Z","Germany: near Wetzlar",,"clinical","Homo sapiens",,,,"SAMN02867342","GCA_000768415.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","G1/2",,"PDT000041342.1","2014-10-24T17:02:24Z","Germany: near Wetzlar",,"clinical","Homo sapiens",,,,"SAMN02867339","GCA_000768405.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","G6/7",,"PDT000041344.1","2014-10-24T17:03:32Z","Germany: near Wetzlar",,"clinical","Homo sapiens",,,,"SAMN02867352","GCA_000768465.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","G5",,"PDT000041345.1","2014-10-24T17:03:54Z","Germany: near Wetzlar",,"clinical","Homo sapiens",,,,"SAMN02867357","GCA_000768485.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","G8",,"PDT000041346.1","2014-10-24T17:04:16Z","Germany: near Wetzlar",,"clinical","Homo sapiens",,,,"SAMN02867359","GCA_000768505.1","blaEC","PDG000000004.1583"
"E.coli and Shigella",,"E. coli O128:H12","PDT000041490.5","2018-06-26T23:03:22Z","USA","stool","clinical","Homo sapiens",,,,"SAMN03019928",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","upec-80",,"PDT000042443.1","2014-11-13T19:01:47Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802175","GCA_000776035.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","upec-23",,"PDT000042444.1","2014-11-13T19:02:06Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802053","GCA_000776045.1","blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","upec-62",,"PDT000042445.1","2014-11-13T19:02:26Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802155","GCA_000776055.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","upec-78",,"PDT000042446.1","2014-11-13T19:02:37Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802172","GCA_000776065.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","upec-58",,"PDT000042447.1","2014-11-13T19:02:47Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802150","GCA_000776115.1","blaEC","PDG000000004.1583"
"E.coli and Shigella","upec-81",,"PDT000042448.1","2014-11-13T19:03:04Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802176","GCA_000776135.1","blaEC,tet(A)","PDG000000004.1583"
"E.coli and Shigella","upec-77",,"PDT000042449.1","2014-11-13T19:03:26Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802171","GCA_000776155.1","blaEC-5,blaTEM-1,sul2","PDG000000004.1583"
"E.coli and Shigella","upec-7",,"PDT000042450.1","2014-11-13T19:03:40Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802163","GCA_000776175.1","aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM","PDG000000004.1583"
"E.coli and Shigella","upec-8",,"PDT000042451.1","2014-11-13T19:03:51Z","USA: WA","patient with urinary tract infection","clinical","Homo sapiens",,,,"SAMN02802174","GCA_000776195.1","blaEC","PDG000000004.1583"
